SH01Ex ,SH01Ex2,SH01Ex3,SH01Tr ,SH01Tr2,SH01Tr3,SH01Fu,SH01Fu2,SH02Ex,SH02Ex2,SH02Tr2,SH02Fu,SH03Ex,SH03Ex2,SH03Ex3,SH03Ex4,SH03Tr2,SH03Tr3,SH03Fu,SH03Fu2,SH03Fu3,SH03Fu4,SH05Ex,SH05Ex2,SH05Tr,SH05Tr2,SH05Fu,SH05Fu2,SH06Ex,SH06Tr,SH06Fu,SH07Ex,SH07Ex2,SH07Tr,SH07Tr2,SH07Fu,SH07Fu2,SH08Ex,SH08Ex2,SH08Tr2,SH08Tr,SH08Fu,SH09Ex,SH09Ex2,SH09Ex3,SH09Tr,SH09Tr2,SH09Fu,SH09Fu2,SH09Fu3,SH10Ex2,SH10Ex3,SH10Tr2,SH10Tr3,SH10Fu2,SH10Fu3,SH11Ex,SH11Ex2,SH11Ex3,SH11Tr,SH11Tr2,SH11Tr3,SH11Fu,SH11Fu2,SH11Fu3,SH12Ex,SH12Ex2,SH12Ex3,SH12Ex4,SH12Tr,SH12Tr2,SH12Fu2,SH12Fu3,SH12Fu4,SH13Ex,SH13Tr,SH13Fu,SH14Ex,SH14Fu,SH15Ex,SH15Ex2,SH15Tr,SH15Fu,SH15Fu2,SH16Ex,SH16Tr,SH16Fu,SH33Ex,SH33Tr,SH34Ex,SH34Fu,SH34Ex2,SH34Ex3,SH34Tr2,SH34Tr3,SH34Fu2,SH34Fu3,SH38Ex2,SH38Tr2,SH38Fu2,SH38Ex3,SH38Fu3,SH39Ex,SH39Fu,SH42Ex,SH42Tr,SH42Fu,SH43Ex,SH43Tr,SH44Ex,SH44Tr,SH44Fu
43,7019,0,31,1199,0,869,1459,631,0,527702,201,211,750,3846,0,73314,7238,7163,15194,96094,13836,0,66,0,0,0,0,164,34267,155,2561,86037,56922,0,24771,7898,371,3050,2636,0,4340,175,16,626,1778,0,3626,0,114,371,0,0,0,37,117,2437,12791,188,0,0,31929,7972,64929,18946,0,0,0,459,0,5801,0,89,0,0,1363,113,628,1040,4963,754,7399,228,0,301,0,0,0,27,0,0,0,50,0,14294,0,0,0,126,0,262,0,2047,1417,779,5086,0,290,0,24,8888,130
3,0,0,0,0,17,0,7,6,0,0,2,0,1957,0,0,0,0,0,14,11,85,0,0,8,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8823,0,14352,0,20658,0,0,0,0,0,11,0,0,0,0,13186,9376,11505,0,14083,15675,15428,12587,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4618,7713,17342,21011,14013,14911,20367,19872
64,8811,0,27,0,0,1217,946,30,0,187,27,0,178,141,0,795,0,676,515,553,0,0,0,0,0,0,0,100,0,118,996,13166,75,0,15976,30135,0,0,0,0,0,717,0,0,0,0,1645,0,0,43,0,0,0,0,0,32,0,0,0,0,0,379,0,183432,0,0,0,0,0,0,0,0,0,0,0,0,235,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,58,0,0,0,0,0,0,0,0
4382,6223,0,10,0,91,644692,88991,151,0,12715,215,0,0,0,0,572,378,9392,2511,428241,4229,0,0,0,0,0,1408,2705,13798,66562,2993,3881,884,0,16142,972,81,1879,821,12251,9942,113,0,8180,1715,853,1121,60,3435,1872,0,0,538,0,0,360,30738,0,0,952,10772,192,34627,0,0,0,0,179,0,65,0,22,6,0,537,634,6783,5641,0,164,3161,1008,1645,77,0,200,0,0,345,525,0,35,2065,1348,6,951,128,525,2,0,0,271,920,942,67259,2262,179,0,2569,0,1540
441,96823,0,0,0,0,1134,8414,0,0,1339,466,0,328,294,0,34960,7350,8442,13392,38135,9981,0,0,0,0,0,0,178,56,217,0,5000,0,0,3108,20224,324,3886,4391,389,18644,0,0,891,0,0,3103,23,178,3862,0,0,0,0,0,250,0,0,0,0,0,344,10946,0,0,0,0,0,0,0,0,0,0,0,0,141,1994,454,4631,365,508,12668,10731,0,0,1153,1115,0,0,2000,0,0,0,0,0,414,0,0,0,0,0,12103,4955,51,4503,0,0,0,0,0,0
422,5056,0,43,34871,0,973,473,90,1,12231,4027,0,118,78,0,1369,331,3099,14357,6079,2386,0,6,0,0,0,0,38,26,77,0,11021,0,0,9353,9106,24,747,101,52,1824,249,0,631,176,4002,6722,22,291,344,0,0,11,16,0,780,1652,16,37,0,311,360,1559,22596,0,0,0,0,0,0,0,0,0,11,0,34,405,107,5857,1155,410,8660,1015,25,0,70,134,0,582,801,641,190,0,0,11,601,0,12,0,0,0,584,201,149,1723,0,0,0,42,0,49
4370,18241,0,98,158,0,4436,80785,409,0,15351,8191,50,330,905,0,253373,75494,44892,13262,89735,77173,137,276,0,0,119,411,4457,498,1683,5400,25317,0,0,17827,7901,0,632,0,1598,8920,2208,0,9071,0,0,12703,227,1244,7310,0,0,0,675,3040,2131,5168,306,585,1966,786,3777,35381,30537,249,0,351,1044,0,0,0,167,503,196,0,235,11756,3046,11988,1985,995,13286,162166,286,0,0,14828,0,9075,4100,0,1004,0,0,0,4032,0,291,0,0,0,3264,1126,128,30006,0,366,0,200,0,537
257,549,0,99,0,0,73,60,32,0,954,63,0,0,0,0,0,22,0,0,17,12,38,286,127,774,206,141,119,610,47142,0,0,0,0,1069,48,129,30,0,0,2920,0,0,105,0,253,52,0,80,0,0,0,0,0,0,4,0,0,0,0,0,372,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,39,14,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,19378
0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77068,0,20,0,49,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,30,0,0,342,10,18,0,2,2,0,0,0,0,0
