Abiotrophia,Abiotrophia_defectiva
Acetanaerobacterium,Acetanaerobacterium_elongatum
Actinomyces,Actinomyces_dentalis
Actinomyces,Actinomyces_graevenitzii
Actinomyces,Actinomyces_johnsonii
Actinomyces,Actinomyces_massiliensis
Actinomyces,Actinomyces_oris
Alloprevotella,Alloprevotella_tannerae
Alloscardovia,Alloscardovia_omnicolens
Andreesenia,Andreesenia_angusta
Atopobium,Atopobium_parvulum
Atopobium,Atopobium_vaginae
Bavariicoccus,Bavariicoccus_seileri
Brochothrix,Brochothrix_thermosphacta
Burkholderia,Burkholderia_cepacia
Burkholderia,Burkholderia_gladioli
Burkholderia,Burkholderia_pseudomallei
Burkholderia,Burkholderia_ubonensis
Campylobacter,Campylobacter_concisus
Capnocytophaga,Capnocytophaga_gingivalis
Capnocytophaga,Capnocytophaga_granulosa
Capnocytophaga,Capnocytophaga_ochracea
Catenibacterium,Catenibacterium_mitsuokai
Comamonas,Comamonas_testosteroni
Corynebacterium,Corynebacterium_pseudodiphtheriticum
Cutibacterium,Cutibacterium_acnes
Enterococcus,Enterococcus_faecalis
Enterococcus,Enterococcus_faecium
Eubacterium,Eubacterium_ramulus
Eubacterium,Eubacterium_sulci
Fusobacterium,Fusobacterium_periodonticum
Gemella,Gemella_haemolysans
Gemella,Gemella_sanguinis
Gemmata,Gemmata_obscuriglobus
Granulicatella,Granulicatella_adiacens
Granulicatella,Granulicatella_elegans
Haemophilus,Haemophilus_influenzae
Haemophilus,Haemophilus_sputorum
Hoeflea,Hoeflea_olei
Inquilinus,Inquilinus_limosus
Kingella,Kingella_oralis
Lachnoanaerobaculum,Lachnoanaerobaculum_saburreum
Lactobacillus,Lactobacillus_fermentum
Lactobacillus,Lactobacillus_gasseri
Lactobacillus,Lactobacillus_plantarum
Lactobacillus,Lactobacillus_rhamnosus
Lautropia,Lautropia_mirabilis
Leuconostoc,Leuconostoc_mesenteroides
Limosilactobacillus,Limosilactobacillus_reuteri
Megasphaera,Megasphaera_micronuciformis
Moraxella,Moraxella_catarrhalis
Moraxella,Moraxella_nonliquefaciens
Neisseria,Neisseria_lactamica
Neisseria,Neisseria_mucosa
Nocardia,Nocardia_brevicatena
Oribacterium,Oribacterium_parvum
Oribacterium,Oribacterium_sinus
Parascardovia,Parascardovia_denticolens
Parvimonas,Parvimonas_micra
Peptostreptococcus,Peptostreptococcus_stomatis
Porphyromonas,Porphyromonas_somerae
Poseidonibacter,Poseidonibacter_lekithochrous
Prevotella,Prevotella_denticola
Prevotella,Prevotella_enoeca
Prevotella,Prevotella_fusca
Prevotella,Prevotella_histicola
Prevotella,Prevotella_maculosa
Prevotella,Prevotella_marshii
Prevotella,Prevotella_nanceiensis
Prevotella,Prevotella_oris
Prevotella,Prevotella_oulorum
Prevotella,Prevotella_pallens
Prevotella,Prevotella_salivae
Prevotella,Prevotella_scopos
Prevotella,Prevotella_veroralis
Pseudomonas,Pseudomonas_aeruginosa
Pseudomonas,Pseudomonas_protegens
Pseudopropionibacterium,Pseudopropionibacterium_propionicum
Ralstonia,Ralstonia_mannitolilytica
Ralstonia,Ralstonia_pickettii
Reyranella,Reyranella_massiliensis
Rothia,Rothia_dentocariosa
Rothia,Rothia_mucilaginosa
Sanguibacteroides,Sanguibacteroides_justesenii
Scardovia,Scardovia_wiggsiae
Schaalia,Schaalia_odontolytica
Solobacterium,Solobacterium_moorei
Staphylococcus,Staphylococcus_aureus
Staphylococcus,Staphylococcus_epidermidis
Staphylococcus,Staphylococcus_hominis
Stomatobaculum,Stomatobaculum_longum
Streptococcus,Streptococcus_agalactiae
Streptococcus,Streptococcus_anginosus
Streptococcus,Streptococcus_cristatus
Streptococcus,Streptococcus_gordonii
Streptococcus,Streptococcus_intermedius
Streptococcus,Streptococcus_mitis
Streptococcus,Streptococcus_mutans
Streptococcus,Streptococcus_parasanguinis
Streptococcus,Streptococcus_pneumoniae
Streptococcus,Streptococcus_salivarius
Streptococcus,Streptococcus_sanguinis
Streptococcus,Streptococcus_thermophilus
Streptomyces,Streptomyces_auratus
Tepidimonas,Tepidimonas_fonticaldi
Tetrasphaera,Tetrasphaera_japonica
Trueperella,Trueperella_pyogenes
Veillonella,Veillonella_parvula
